Team,R,G,B,R,G,B
Williams,253,204,9,81,38,152
Emory,1,33,105,242,169,0
Amherst,63,31,105,255,255,255
Claremont-Mudd-Scripps,237,170,30,141,34,50
Middlebury,0,56,130,255,255,255
Bowdoin,0,0,0,255,255,255
Johns Hopkins,104,172,229,0,0,0
Chicago,128,0,0,118,118,118
Carnegie Mellon,176,0,0,255,255,255
Pomona-Pitzer,247,148,29,32,67,143
Redlands,122,36,38,225,225,225
Wash U St. Louis,0,115,96,165,20,23
DePauw,255,199,44,17,28,36
UC Santa Cruz,0,60,108,253,199,0
Sewanee,88,44,131,206,184,136
Whitman,0,31,91,255,198,39
Tufts,65,143,222,79,44,29
Trinity (CT),0,48,90,255,210,0
Skidmore,0,106,82,255,209,0
Mary Washington,0,48,94,104,102,99
Washington & Lee,0,51,153,255,255,255
Trinity (TX),114,49,48,255,255,255
MIT,163,31,52,138,139,140
Brandeis,0,47,108,255,255,255
Case Western,10,48,78,98,98,98
Vassar,172,0,50,123,123,123
UW-Whitewater,80,45,127,255,255,255
La Verne,44,82,52,255,130,0
Carleton,11,80,145,243,182,29
Denison,255,255,255,255,255,255
Kenyon,255,255,255,255,255,255
Oberlin,255,255,255,255,255,255
Lewis and Clark,255,255,255,255,255,255
UT-Dallas,255,255,255,255,255,255
Salisbury,255,255,255,255,255,255
Wellesley,255,255,255,255,255,255
Chapman,255,255,255,255,255,255
Wesleyan,255,255,255,255,255,255
Hope,255,255,255,255,255,255
Linfield,255,255,255,255,255,255
Babson,255,255,255,255,255,255
UT-Tyler,255,255,255,255,255,255
Christopher Newport,255,255,255,255,255,255
Kalamazoo,255,255,255,255,255,255
St. Thomas,255,255,255,255,255,255
Cal Lutheran,255,255,255,255,255,255
NYU,255,255,255,255,255,255
TCNJ,255,255,255,255,255,255
Gustavus Adolphus,255,255,255,255,255,255
Washington MD,255,255,255,255,255,255
Southwestern,255,255,255,255,255,255
East Texas Baptist,255,255,255,255,255,255
Rochester,255,255,255,255,255,255
CalTech,255,255,255,255,255,255
Swarthmore,255,255,255,255,255,255
Colby,255,255,255,255,255,255
Bates,255,255,255,255,255,255
Haverford,255,255,255,255,255,255
Wheaton (IL),255,255,255,255,255,255
Wheaton (MA),255,255,255,255,255,255
